,Unnamed: 0,zip,latitude,longitude,Cost of Single Family Home,Rent,Normalized Ratio,School Rating,Total Crimes,job_growth_per,job_growth_per_nom,Normalized Ratio_nom,Total Crimes_nom,School Rating_nom,summary_metric
101,101,29510,33.44,-79.56,95600,700,1.771966527,2.7,-215,2.7,2.03,1.43,-0.12,0.63,3.97
102,102,29511,33.99,-79.2,145500,775,1.289003436,7.3,-73,2.7,2.03,1.04,-0.04,1.71,4.74
103,103,29512,34.63,-79.68,208300,582,0.676159386,2.3,-865,0.7,0.53,0.55,-0.48,0.54,1.13
104,104,29520,34.69,-79.89,208300,563,0.654085454,3.2,-440,0.7,0.53,0.53,-0.24,0.75,1.56
105,105,29525,34.57,-79.54,208300,507,0.589025444,4.5,-19,0.7,0.53,0.48,-0.01,1.05,2.04
106,106,29526,33.83,-79.04,168600,831,1.192775801,6.5,-3264,2.7,2.03,0.96,-1.82,1.52,2.70
107,107,29527,33.79,-79.15,139500,755,1.309749104,5.5,-1631,2.7,2.03,1.06,-0.91,1.29,3.47
108,108,29530,33.97,-79.74,91400,516,1.366214442,4,-7,0.7,0.53,1.10,0.00,0.94,2.56
109,109,29532,34.29,-79.87,71900,629,2.117079277,4.8,-799,0.7,0.53,1.71,-0.44,1.12,2.92
110,110,29544,34.05,-79.24,139700,792,1.371968504,6.3,-73,2.7,2.03,1.11,-0.04,1.47,4.57
111,111,29550,34.36,-80.08,87600,643,1.776324201,4.8,-1408,0.7,0.53,1.44,-0.78,1.12,2.30
112,112,29555,33.81,-79.44,88300,545,1.493657984,4.3,-88,2.7,2.03,1.21,-0.05,1.01,4.19
113,113,29556,33.66,-79.82,208300,638,0.741219395,3.2,-265,0.7,0.53,0.60,-0.15,0.75,1.73
114,114,29560,33.86,-79.75,87800,668,1.84118451,2.6,-768,0.7,0.53,1.49,-0.43,0.61,2.20
115,115,29563,34.34,-79.16,208300,483,0.561142583,4,-52,2.7,2.03,0.45,-0.03,0.94,3.39
116,116,29564,33.52,-79.88,208300,632,0.73424868,0,0,2.1,1.58,0.59,0.00,0.00,2.17
117,117,29565,34.33,-79.43,208300,543,0.630849736,4,-124,0.7,0.53,0.51,-0.07,0.94,1.90
118,118,29566,33.87,-78.63,185600,836,1.090043103,6.6,-1633,2.7,2.03,0.88,-0.91,1.54,3.55
119,119,29569,34.05,-78.89,138800,729,1.271023055,3.8,-155,2.7,2.03,1.03,-0.09,0.89,3.86
120,120,29570,34.66,-79.54,208300,360,0.418242919,4.5,-184,0.7,0.53,0.34,-0.10,1.05,1.82
121,121,29571,34.17,-79.4,208300,551,0.640144023,3.4,-638,0.7,0.53,0.52,-0.36,0.80,1.48
122,122,29574,34.2,-79.25,208300,465,0.540230437,3.2,-1199,2.7,2.03,0.44,-0.67,0.75,2.55
123,123,29575,33.63,-78.97,225900,849,0.909508632,7.5,-6375,2.7,2.03,0.74,-3.55,1.76,0.97
124,124,29581,34.23,-79.14,111500,630,1.36735426,0,-12,2.7,2.03,1.11,-0.01,0.00,3.13
125,125,29582,33.82,-78.67,275500,923,0.81076588,7,-1696,2.7,2.03,0.66,-0.94,1.64,3.38
126,126,29583,33.99,-79.56,86900,566,1.576202532,3,-35,0.7,0.53,1.27,-0.02,0.70,2.48
127,127,29585,33.52,-79.14,335500,1128,0.813639344,6.2,-13,2.7,2.03,0.66,-0.01,1.45,4.13
128,128,29588,33.63,-79.02,176000,915,1.258125,7.4,-5994,2.7,2.03,1.02,-3.34,1.73,1.44
129,129,29590,33.59,-79.85,208300,1085,1.260537686,0,0,2.1,1.58,1.02,0.00,0.00,2.60
130,130,29591,33.91,-79.74,87500,556,1.537737143,3,-775,0.7,0.53,1.24,-0.43,0.70,2.04
